Nodo0state :[2, 1, 0, 3, 2]
Nodo1state :[2, 1, 2, 3, 2]
Nodo2state :[3, 1, 2, 3, 2]
Nodo3state :[2, 1, 0, 1, 0]
Nodo4state :[3, 2, 2, 0, 0]
Nodo5state :[0, 3, 0, 0, 1]
Nodo6state :[3, 3, 0, 0, 1]
Nodo7state :[3, 2, 0, 0, 1]
Nodo8state :[3, 1, 0, 0, 1]
Nodo9state :[2, 1, 2, 3, 0]
Nodo10state :[3, 3, 2, 0, 2]
Nodo11state :[1, 3, 0, 3, 1]
Nodo12state :[1, 3, 0, 3, 1]
Nodo13state :[3, 3, 0, 3, 0]
Nodo14state :[1, 3, 0, 3, 2]
Nodo15state :[1, 3, 0, 3, 2]
Nodo16state :[1, 3, 0, 3, 2]
Nodo17state :[3, 3, 0, 3, 0]
Nodo18state :[3, 3, 0, 3, 2]
Nodo19state :[3, 3, 0, 3, 0]
Nodo20state :[3, 3, 0, 3, 0]
Nodo21state :[3, 2, 0, 3, 2]
Nodo22state :[3, 2, 0, 3, 0]
Nodo23state :[0, 2, 3, 3, 0]
Nodo24state :[0, 2, 3, 3, 0]
Nodo25state :[0, 2, 3, 3, 0]
Nodo26state :[0, 2, 3, 3, 0]
Nodo27state :[2, 3, 3, 3, 2]
Nodo28state :[1, 1, 0, 3, 0]
Nodo29state :[3, 3, 2, 3, 2]
Nodo30state :[1, 1, 0, 3, 0]
Nodo31state :[3, 3, 0, 3, 2]
Nodo32state :[3, 1, 0, 1, 1]
Nodo33state :[3, 3, 0, 3, 2]
Nodo34state :[3, 3, 0, 3, 2]
Nodo35state :[3, 1, 0, 3, 0]
Nodo36state :[2, 3, 2, 3, 0]
Nodo37state :[1, 1, 0, 3, 2]
Nodo38state :[2, 1, 2, 3, 0]
Nodo39state :[2, 1, 0, 3, 0]
Nodo40state :[2, 1, 2, 3, 0]
Nodo41state :[1, 3, 0, 3, 2]
Nodo42state :[3, 3, 2, 3, 2]
Nodo43state :[3, 3, 2, 3, 2]
Nodo44state :[3, 3, 2, 3, 2]
Nodo45state :[3, 3, 2, 3, 2]
Nodo46state :[3, 3, 2, 3, 2]
Nodo47state :[2, 1, 0, 1, 0]
Nodo48state :[2, 1, 0, 3, 2]
Nodo49state :[2, 1, 2, 3, 0]
